job_key,employer_id,employer_name,first_seen_at,last_seen_at,company,title,city,province,workplace_type,likely_level,minimum_experience_years,maximum_experience_years,audit_evidence,application_url
greenhouse:takealotgroup:8129968,takealot-group,Takealot Group,2026-08-18 13:08:17.943367+00:00,2026-08-20 20:46:43.941771+00:00,Takealot Group,DC Industrial Systems Engineer,Durban,KwaZulu-Natal,on_site,likely_mid_level,3,,description: Minimum 3 years,https://job-boards.greenhouse.io/takealotgroup/jobs/8129968
greenhouse:takealotgroup:5865553,takealot-group,Takealot Group,2026-08-08 19:57:22.760851+00:00,2026-08-20 20:46:43.941771+00:00,Takealot Group,Software Engineer (Python),,,remote,likely_mid_level,3,10,description: 3 to 6 years | description: 5 to 10 years,https://job-boards.greenhouse.io/takealotgroup/jobs/5865553
greenhouse:takealotgroup:7682153,takealot-group,Takealot Group,2026-08-14 13:43:24.336749+00:00,2026-08-20 20:46:43.941771+00:00,Takealot Group,Web Frontend Engineer,Cape Town,Western Cape,remote,likely_mid_level,3,4,description: 3-4 years,https://job-boards.greenhouse.io/takealotgroup/jobs/7682153
lever:Yassir:9ca82566-8bac-471e-9545-baa8ef759d1f,yassir,Yassir,2026-08-08 19:57:22.760851+00:00,2026-08-20 20:46:43.941771+00:00,Yassir,Data Scientist (Personalization),Cape Town,Western Cape,hybrid,likely_mid_level,3,,description: at least 3 years,https://jobs.lever.co/Yassir/9ca82566-8bac-471e-9545-baa8ef759d1f/apply
successfactors:discovery:1426415533,discovery,Discovery,2026-08-18 13:08:17.943367+00:00,2026-08-20 20:46:43.941771+00:00,Discovery,Security DevOps Specialist,Johannesburg,Gauteng,unspecified,likely_senior,5,,title: Specialist | description: 5+ years,https://careers.discovery.co.za/job/Sandton-1-Discovery-Place-Security-DevOps-Specialist-GP-2196/1426415533/
successfactors:discovery:1427942933,discovery,Discovery,2026-08-19 20:46:11.709130+00:00,2026-08-20 20:46:43.941771+00:00,Discovery,Security DevOps Specialist,Johannesburg,Gauteng,unspecified,likely_senior,5,,title: Specialist | description: 5+ years,https://careers.discovery.co.za/job/Sandton-1-Discovery-Place-Security-DevOps-Specialist-GP-2196/1427942933/
successfactors:discovery:1427943233,discovery,Discovery,2026-08-19 20:46:11.709130+00:00,2026-08-20 20:46:43.941771+00:00,Discovery,Security DevOps Specialist,Johannesburg,Gauteng,unspecified,likely_senior,5,,title: Specialist | description: 5+ years,https://careers.discovery.co.za/job/Sandton-1-Discovery-Place-Security-DevOps-Specialist-GP-2196/1427943233/
greenhouse:impact:8463934002,impact-com,impact.com,2026-08-08 19:57:22.760851+00:00,2026-08-20 20:46:43.941771+00:00,Impact.com,Technical Services Engineer III,Cape Town,Western Cape,unspecified,likely_senior,,,title: Engineer III,https://job-boards.greenhouse.io/impact/jobs/8463934002
successfactors:nedbank:1423492833,nedbank,Nedbank,2026-08-08 19:57:22.760851+00:00,2026-08-14 20:45:41.085268+00:00,Nedbank,Title: BI Data Analyst II,Johannesburg,Gauteng,unspecified,likely_senior,5,7,title: Analyst II | description: 5-7 years,https://jobs.nedbank.co.za/job/Johannesburg-BI-Data-Analyst-II/1423492833/
successfactors:nedbank:1289278501,nedbank,Nedbank,2026-08-08 19:57:22.760851+00:00,2026-08-20 20:46:43.941771+00:00,Nedbank,Title: Front Arena Developer,Johannesburg,Gauteng,unspecified,likely_senior,5,,description: Min 5 years,https://jobs.nedbank.co.za/job/Johannesburg-Front-Arena-Developer/1289278501/
greenhouse:takealotgroup:6068367,takealot-group,Takealot Group,2026-08-08 19:57:22.760851+00:00,2026-08-20 20:46:43.941771+00:00,Takealot Group,Python Software Engineer,Cape Town,Western Cape,hybrid,likely_senior,5,,description: 5+ years,https://job-boards.greenhouse.io/takealotgroup/jobs/6068367
greenhouse:takealotgroup:8050509,takealot-group,Takealot Group,2026-08-08 19:57:22.760851+00:00,2026-08-20 20:46:43.941771+00:00,Takealot Group,Search Software Engineer,,,remote,likely_senior,5,10,description: 5 to 10 years,https://job-boards.greenhouse.io/takealotgroup/jobs/8050509
greenhouse:takealotgroup:5853989,takealot-group,Takealot Group,2026-08-08 19:57:22.760851+00:00,2026-08-20 20:46:43.941771+00:00,Takealot Group,Software Engineer (Scala),,,hybrid,likely_senior,5,,description: At least 5 years,https://job-boards.greenhouse.io/takealotgroup/jobs/5853989
