company,title,role_level,inferred_role_level,role_level_score,role_level_confidence,is_talent_pool,role_level_score_evidence,application_url
Impact.com,Senior Software Engineer,senior,senior,-60,high,False,"title: Senior (-20, senior) | source_level: senior (-20, senior) | experience: 8+ years experience (-10, senior) | experience: 8+ years (-10, senior)",https://job-boards.greenhouse.io/impact/jobs/7772895002
Impact.com,Senior Software Engineer,senior,senior,-60,high,False,"title: Senior (-20, senior) | source_level: senior (-20, senior) | experience: 8+ years experience (-10, senior) | experience: 8+ years (-10, senior)",https://job-boards.greenhouse.io/impact/jobs/7772901002
Impact.com,Senior Software Engineer,senior,senior,-50,high,False,"title: Senior (-20, senior) | source_level: senior (-20, senior) | experience: 7+ years' experience (-10, senior)",https://job-boards.greenhouse.io/impact/jobs/8161631002
Impact.com,Senior Software Engineer (Shopify),senior,senior,-40,high,False,"title: Senior (-20, senior) | source_level: senior (-20, senior)",https://job-boards.greenhouse.io/impact/jobs/8413164002
Impact.com,Site Reliability Engineer,unspecified,mid_level,-2,medium,False,"experience: 3+ years (-2, mid_level)",https://job-boards.greenhouse.io/impact/jobs/8545895002
Impact.com,Software Quality Engineer (Java using Selenium),unspecified,ambiguous,-2,low,False,"experience: At least 3 years experience (-2, mid_level) | experience: At least 2 years of experience (+2, ambiguous) | experience: At least 3 years (-2, mid_level)",https://job-boards.greenhouse.io/impact/jobs/6256610002
Impact.com,Software engineer,unspecified,mid_level,-5,medium,False,"experience: 4 + years' experience (-5, mid_level)",https://job-boards.greenhouse.io/impact/jobs/8225665002
Impact.com,Technical Services Engineer III,unspecified,ambiguous,0,low,False,,https://job-boards.greenhouse.io/impact/jobs/8463934002
Luno,Product Manager,senior,senior,-42,high,False,"title: Manager (-22, senior) | source_level: senior (-20, senior)",https://job-boards.greenhouse.io/luno/jobs/8012451
Mama Money,Senior BI Engineer,senior,senior,-50,high,False,"title: Senior (-20, senior) | source_level: senior (-20, senior) | experience: 5+ years’ experience (-10, senior)",https://jobs.lever.co/mamamoney/603e1e3e-2fda-4c4e-88ad-ef1fb299f679/apply
Mama Money,Snr. Full-Stack JavaScript Engineer,unspecified,ambiguous,-8,low,False,"experience: 6+ years (-10, senior) | experience: at least 2 years (+2, ambiguous)",https://jobs.lever.co/mamamoney/5ef7c880-c363-440d-b753-1559dc2f7f9c/apply
Nedbank,Title: ACE Software Developer,unspecified,mid_level,-2,medium,False,"experience: Min 3 years (-2, mid_level)",https://jobs.nedbank.co.za/job/Johannesburg-ACE-Software-Developer/1366577033/
Nedbank,Title: Asset Management: Business Analyst,unspecified,senior,-10,medium,False,"experience: 5 - 8 years (-10, senior)",https://jobs.nedbank.co.za/job/Cape-Town-Asset-Management-Business-Analyst/1413319333/
Nedbank,Title: Automation Design Practioner,unspecified,ambiguous,0,low,False,,https://jobs.nedbank.co.za/job/Johannesburg-Automation-Design-Practioner/1379321933/
Nedbank,Title: BI Data Analyst,unspecified,senior,-20,medium,False,"experience: Minimum 8 years' experience (-10, senior) | experience: Minimum 6 years (-10, senior)",https://jobs.nedbank.co.za/job/Johannesburg-BI-Data-Analyst/1418004433/
Nedbank,Title: Cloud Engineer: Database Services,unspecified,mid_level,-22,medium,False,"experience: 8-10 Years (-10, senior) | experience: 6+ Years (-10, senior) | experience: 3+ Years (-2, mid_level)",https://jobs.nedbank.co.za/job/Johannesburg-Cloud-Engineer-Database-Services/1415187633/
Nedbank,Title: Data Engineer,unspecified,mid_level,-2,medium,False,"experience: 3 - 6 years (-2, mid_level)",https://jobs.nedbank.co.za/job/Johannesburg-Data-Engineer/1408566533/
Nedbank,Title: Front Arena Business Analyst I 1,junior,junior,11,high,False,"title: Analyst I (+6, junior) | source_level: junior (+10, junior) | experience: 7 - 10 years (-10, senior) | experience: 1 - 2 years (+5, junior)",https://jobs.nedbank.co.za/job/Johannesburg-Front-Arena-Business-Analyst-I-1/1289313301/
Nedbank,Title: Front Arena Developer,unspecified,senior,-10,medium,False,"experience: Min 5 years (-10, senior)",https://jobs.nedbank.co.za/job/Johannesburg-Front-Arena-Developer/1289278501/
Nedbank,Title: QA Lead,senior,senior,-49,high,False,"title: Lead (-24, senior) | source_level: senior (-20, senior) | experience: 7 - 10 years (-10, senior) | experience: 1 - 2 years (+5, junior) | experience: 1-3 years (+5, junior) | experience: 4 years (-5, mid_level)",https://jobs.nedbank.co.za/job/Johannesburg-QA-Lead/1416300433/
Nedbank,Title: Software Developer,unspecified,mid_level,-2,medium,False,"experience: Min 3 years (-2, mid_level)",https://jobs.nedbank.co.za/job/Johannesburg-Software-Developer/1408728033/
Nedbank,Title: Software Developer,unspecified,mid_level,-2,medium,False,"experience: Min 3 years (-2, mid_level)",https://jobs.nedbank.co.za/job/Johannesburg-Software-Developer/1410424233/
